reviews,overall_satisfaction,has_satisfaction,has_reviews,accommodates,bathrooms,bedrooms,address_length,room_type,log_price,price_capped
21,5.0,1,1,8,2.5,4.0,26,Entire home/apt,5.525452939131784,250.0
1,5.0,0,1,4,1.0,2.0,26,Entire home/apt,4.61512051684126,100.0
63,4.5,1,1,2,1.0,1.0,26,Private room,4.418840607796598,82.0
462,5.0,1,1,2,1.0,0.0,26,Entire home/apt,3.912023005428146,49.0
134,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.51085950651685,90.0
130,4.5,1,1,2,3.0,1.0,26,Private room,4.189654742026425,65.0
401,5.0,1,1,2,1.0,1.0,26,Private room,4.3694478524670215,78.0
35,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.111987788356544,165.0
36,5.0,1,1,3,1.0,2.0,26,Entire home/apt,4.564348191467836,95.0
76,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.7535901911063645,115.0
57,5.0,1,1,4,1.0,2.0,26,Entire home/apt,4.912654885736052,135.0
36,4.5,1,1,1,1.5,0.0,26,Private room,3.9318256327243257,50.0
94,4.5,1,1,2,1.0,1.0,26,Private room,3.737669618283368,41.0
20,5.0,1,1,4,1.0,1.0,26,Private room,4.700480365792417,109.0
80,5.0,1,1,8,2.0,3.0,26,Entire home/apt,5.525452939131784,250.0
125,4.5,1,1,2,1.5,1.0,26,Private room,3.6375861597263857,37.0
70,4.5,1,1,6,1.5,3.0,26,Private room,3.9318256327243257,50.0
17,4.5,1,1,1,1.0,1.0,26,Private room,4.61512051684126,100.0
89,5.0,1,1,2,1.0,0.0,26,Entire home/apt,4.290459441148391,72.0
78,4.5,1,1,2,1.0,1.0,27,Entire home/apt,4.110873864173311,60.0
76,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.948759890378168,140.0
119,4.5,1,1,6,1.0,2.0,26,Entire home/apt,4.605170185988092,99.0
489,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.0943445622221,59.0
272,5.0,1,1,2,1.0,1.0,26,Private room,3.828641396489095,45.0
98,5.0,1,1,5,1.0,1.0,26,Entire home/apt,4.356708826689592,77.0
19,4.0,1,1,10,2.0,3.0,26,Entire home/apt,5.198497031265826,180.0
17,5.0,1,1,2,1.0,1.0,27,Private room,4.330733340286331,75.0
79,4.5,1,1,6,1.0,2.0,26,Entire home/apt,5.093750200806762,162.0
687,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.262679877041316,70.0
143,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.598421958998375,269.0
59,4.5,1,1,5,1.0,2.0,26,Entire home/apt,5.111987788356544,165.0
85,4.0,1,1,3,1.0,1.0,26,Entire home/apt,4.330733340286331,75.0
3,4.0,1,1,2,1.0,1.0,26,Entire home/apt,4.454347296253507,85.0
55,5.0,1,1,2,1.0,1.0,27,Entire home/apt,4.836281906951478,125.0
93,5.0,1,1,8,2.5,3.0,26,Entire home/apt,5.69035945432406,295.0
28,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
228,4.5,1,1,2,1.0,1.0,26,Private room,3.80666248977032,44.0
43,4.5,1,1,1,1.0,1.0,26,Private room,4.110873864173311,60.0
39,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.709530201312334,110.0
6,4.5,1,1,1,1.0,1.0,27,Private room,4.330733340286331,75.0
29,4.5,1,1,1,1.0,1.0,26,Private room,3.713572066704308,40.0
217,4.5,1,1,4,1.0,2.0,26,Entire home/apt,4.143134726391533,62.0
213,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.382026634673881,79.0
25,5.0,1,1,1,1.0,1.0,26,Private room,3.9318256327243257,50.0
24,4.5,1,1,1,1.0,1.0,26,Private room,3.713572066704308,40.0
178,5.0,1,1,2,1.0,1.0,26,Private room,4.262679877041316,70.0
5,4.5,1,1,2,1.0,1.0,26,Private room,4.61512051684126,100.0
10,5.0,1,1,2,1.0,1.0,26,Private room,4.02535169073515,55.0
7,4.5,1,1,1,1.5,1.0,26,Private room,3.4339872044851463,30.0
14,5.0,1,1,1,1.5,1.0,26,Private room,3.5263605246161616,33.0
7,4.0,1,1,1,1.5,1.0,26,Private room,3.5263605246161616,33.0
4,5.0,1,1,1,2.0,1.0,26,Private room,3.58351893845611,35.0
10,4.5,1,1,1,1.5,1.0,26,Private room,3.5263605246161616,33.0
76,5.0,1,1,2,1.0,1.0,27,Private room,4.02535169073515,55.0
63,4.5,1,1,2,1.0,1.0,26,Private room,4.189654742026425,65.0
17,4.5,1,1,4,1.0,1.0,26,Entire home/apt,5.303304908059076,200.0
19,4.5,1,1,6,1.0,2.0,26,Entire home/apt,5.303304908059076,200.0
114,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.330733340286331,75.0
219,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.795790545596741,120.0
57,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.7535901911063645,115.0
38,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.912654885736052,135.0
126,5.0,1,1,2,1.0,1.0,26,Private room,4.61512051684126,100.0
350,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.382026634673881,79.0
88,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.174387269895637,64.0
244,5.0,1,1,6,1.0,2.0,26,Entire home/apt,4.51085950651685,90.0
152,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.51085950651685,90.0
56,5.0,1,1,2,1.0,1.0,26,Private room,4.454347296253507,85.0
140,5.0,1,1,2,1.0,1.0,26,Private room,4.330733340286331,75.0
347,4.5,1,1,2,1.0,1.0,26,Private room,4.418840607796598,82.0
338,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.02535169073515,55.0
13,5.0,1,1,5,1.5,2.0,26,Entire home/apt,4.836281906951478,125.0
2,5.0,0,1,10,4.5,3.0,32,Entire home/apt,6.2166061010848646,500.0
412,5.0,1,1,2,1.0,1.0,26,Private room,4.02535169073515,55.0
9,5.0,1,1,1,1.0,1.0,26,Private room,4.795790545596741,120.0
201,5.0,1,1,7,2.5,3.0,26,Entire home/apt,5.19295685089021,179.0
84,5.0,1,1,2,1.0,1.0,26,Private room,4.262679877041316,70.0
274,5.0,1,1,2,1.0,1.0,26,Private room,3.9318256327243257,50.0
36,5.0,1,1,3,1.0,1.0,26,Private room,4.454347296253507,85.0
279,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.454347296253507,85.0
254,5.0,1,1,2,1.0,0.0,26,Entire home/apt,4.0943445622221,59.0
111,4.5,1,1,2,1.0,1.0,26,Private room,4.454347296253507,85.0
152,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.290459441148391,72.0
2,5.0,0,1,12,2.5,4.0,27,Entire home/apt,5.525452939131784,250.0
164,4.5,1,1,5,1.0,1.0,26,Entire home/apt,4.499809670330265,89.0
139,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.663439094112067,105.0
22,4.5,1,1,6,1.0,3.0,26,Entire home/apt,5.420534999272286,225.0
67,5.0,1,1,2,4.0,1.0,26,Private room,4.007333185232471,54.0
338,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.442651256490317,84.0
132,5.0,1,1,7,2.0,2.0,26,Entire home/apt,5.075173815233827,159.0
131,5.0,1,1,3,1.0,1.0,26,Private room,4.51085950651685,90.0
76,4.5,1,1,6,1.5,3.0,26,Entire home/apt,5.62040086571715,275.0
30,5.0,1,1,2,1.0,1.0,26,Private room,4.330733340286331,75.0
88,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.787491742782046,119.0
83,5.0,1,1,5,1.0,2.0,26,Private room,4.51085950651685,90.0
81,4.5,1,1,6,1.0,2.0,26,Entire home/apt,5.017279836814924,150.0
167,5.0,1,1,2,1.0,1.0,26,Private room,3.610917912644224,36.0
132,5.0,1,1,2,3.0,1.0,26,Private room,3.828641396489095,45.0
210,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.454347296253507,85.0
1,5.0,0,1,9,2.0,2.0,26,Entire home/apt,5.017279836814924,150.0
142,5.0,1,1,2,1.0,1.0,26,Private room,4.007333185232471,54.0
1,5.0,0,1,2,1.0,1.0,26,Private room,4.110873864173311,60.0
82,5.0,1,1,5,1.0,3.0,26,Entire home/apt,4.605170185988092,99.0
285,4.5,1,1,4,1.0,1.0,26,Entire home/apt,5.170483995038151,175.0
208,5.0,1,1,4,1.0,2.0,26,Entire home/apt,4.3694478524670215,78.0
178,5.0,1,1,2,2.0,1.0,27,Entire home/apt,5.081404364984463,160.0
148,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.454347296253507,85.0
45,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
30,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.017279836814924,150.0
47,4.5,1,1,7,1.0,2.0,26,Entire home/apt,4.477336814478207,87.0
65,5.0,1,1,6,1.0,2.0,26,Entire home/apt,5.231108616854587,186.0
101,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.867534450455582,129.0
68,4.5,1,1,6,2.0,3.0,26,Entire home/apt,5.634789603169249,279.0
147,5.0,1,1,6,2.5,2.0,26,Entire home/apt,4.61512051684126,100.0
52,5.0,1,1,2,1.0,1.0,26,Private room,4.605170185988092,99.0
89,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.948759890378168,140.0
157,5.0,1,1,6,1.0,2.0,26,Entire home/apt,5.049856007249537,155.0
81,4.5,1,1,6,2.0,2.0,26,Entire home/apt,5.123963979403259,167.0
44,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.8283137373023015,124.0
8,5.0,1,1,2,1.0,2.0,26,Entire home/apt,4.653960350157523,104.0
147,5.0,1,1,7,2.0,2.0,26,Entire home/apt,4.795790545596741,120.0
122,5.0,1,1,2,1.5,1.0,26,Entire home/apt,4.875197323201151,130.0
116,4.5,1,1,4,1.0,1.0,26,Entire home/apt,5.3981627015177525,220.0
183,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.51085950651685,90.0
0,5.0,0,0,2,1.0,1.0,26,Entire home/apt,5.278114659230517,195.0
49,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.017279836814924,150.0
46,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.74493212836325,114.0
69,5.0,1,1,5,1.0,1.0,26,Entire home/apt,4.394449154672439,80.0
21,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.010635294096256,149.0
101,5.0,1,1,6,2.0,2.0,26,Entire home/apt,5.117993812416755,166.0
28,5.0,1,1,16,3.0,6.0,26,Entire home/apt,5.860786223465865,350.0
193,5.0,1,1,2,1.0,1.0,26,Private room,4.02535169073515,55.0
43,5.0,1,1,16,2.5,6.0,26,Entire home/apt,6.16541785423142,475.0
141,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.787491742782046,119.0
210,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.394449154672439,80.0
234,5.0,1,1,2,1.0,1.0,26,Private room,4.23410650459726,68.0
124,5.0,1,1,4,1.0,2.0,26,Entire home/apt,4.624972813284271,101.0
48,4.5,1,1,4,2.0,2.0,26,Entire home/apt,5.017279836814924,150.0
13,5.0,1,1,2,1.0,1.0,26,Private room,4.330733340286331,75.0
0,5.0,0,0,7,4.0,3.0,26,Entire home/apt,5.389071729816501,218.0
138,5.0,1,1,5,1.0,2.0,26,Entire home/apt,4.836281906951478,125.0
69,5.0,1,1,2,1.0,1.0,27,Entire home/apt,4.605170185988092,99.0
46,5.0,1,1,8,2.5,3.0,26,Entire home/apt,5.438079308923196,229.0
93,5.0,1,1,8,3.0,3.0,26,Entire home/apt,5.513428746164983,247.0
33,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.836281906951478,125.0
96,5.0,1,1,2,1.0,1.0,26,Private room,4.394449154672439,80.0
178,5.0,1,1,2,1.0,1.0,26,Private room,3.9318256327243257,50.0
2,5.0,0,1,6,2.0,3.0,26,Entire home/apt,5.278114659230517,195.0
244,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.605170185988092,99.0
261,5.0,1,1,3,1.0,1.0,26,Private room,4.262679877041316,70.0
114,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.343805421853684,76.0
10,4.5,1,1,1,1.0,1.0,26,Private room,3.4339872044851463,30.0
275,4.5,1,1,3,1.0,1.0,26,Entire home/apt,4.262679877041316,70.0
298,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.330733340286331,75.0
158,5.0,1,1,2,4.0,1.0,26,Private room,3.9889840465642745,53.0
141,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
163,5.0,1,1,4,1.0,0.0,26,Entire home/apt,4.5217885770490405,91.0
22,5.0,1,1,2,2.0,1.0,26,Private room,3.828641396489095,45.0
18,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.912654885736052,135.0
26,5.0,1,1,2,2.0,1.0,26,Private room,3.828641396489095,45.0
398,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
7,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.010635294096256,149.0
18,4.5,1,1,6,1.0,3.0,26,Entire home/apt,5.62040086571715,275.0
336,5.0,1,1,2,1.0,1.0,26,Private room,4.5217885770490405,91.0
110,4.5,1,1,2,1.0,1.0,26,Private room,3.737669618283368,41.0
230,4.5,1,1,2,1.0,1.0,26,Private room,3.871201010907891,47.0
302,4.5,1,1,4,1.0,2.0,26,Entire home/apt,4.262679877041316,70.0
89,5.0,1,1,2,4.0,1.0,26,Private room,3.970291913552122,52.0
125,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.02535169073515,55.0
113,5.0,1,1,2,2.0,3.0,27,Entire home/apt,4.61512051684126,100.0
142,5.0,1,1,2,3.0,1.0,26,Private room,3.9318256327243257,50.0
45,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.499809670330265,89.0
